,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
1332,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,3953.846153846154,GravityBasedInstallation,,,,,,,,
1333,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,3956.769230769231,GravityBasedInstallation,,,,,,,,
1334,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,3957.346153846154,GravityBasedInstallation,,,,,,,,
1335,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,3968.7307692307695,GravityBasedInstallation,,,,,,,3.0,0.0
1336,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,3980.769230769231,GravityBasedInstallation,,,,,,,,
1337,,Turbine Assembly Line 2,Mechanical Completion,24.0,0.0,ACTION,3981.346153846154,GravityBasedInstallation,,,,,,,,
1338,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,3988.7307692307695,GravityBasedInstallation,,,,,,,3.0,0.0
1339,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,3988.7307692307695,GravityBasedInstallation,,Site,,,,,,
1341,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,3993.7307692307695,GravityBasedInstallation,,,,,,,,
1342,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,3994.7307692307695,GravityBasedInstallation,,,,,,,,
1343,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,4006.7307692307695,GravityBasedInstallation,,,,,,,,
1344,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,4012.7307692307695,GravityBasedInstallation,,,,,,,,
1345,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,4012.7307692307695,GravityBasedInstallation,,site,,,,,1.0,
1350,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,4031.192307692308,GravityBasedInstallation,,,,,,,3.0,0.0
1356,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,4052.769230769231,GravityBasedInstallation,,,,,,,,
1357,,Towing Group 1,Delay: No Completed Assemblies Available,21.576923076922867,101184.98076922979,ACTION,4052.769230769231,GravityBasedInstallation,,,,,,,3.0,
1358,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,146.5,0.0,ACTION,4052.769230769231,GravityBasedInstallation,,,,,,,,
