,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
1753,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,2191.522831802969,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1754,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2191.9561651363024,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1756,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2193.9561651363024,MonopileInstallation,,,,,,,,
1758,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2194.389498469636,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1760,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,2195.389498469636,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1763,,WTIV,Release Monopile,3.0,50000.0,ACTION,2198.389498469636,MonopileInstallation,,,,,,,,
1764,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,2199.2058362661123,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1765,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,2199.2108362661124,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1767,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2200.2108362661124,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1769,,WTIV,Drive Monopile,1.5,25000.0,ACTION,2201.7108362661124,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1770,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,2203.7108362661124,MonopileInstallation,,,,,,,,
1771,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2204.7108362661124,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1772,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,2205.7108362661124,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1773,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,2209.7108362661124,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
