,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
2756,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4079.383333333336,TurbineInstallation,,,,,,,,
2758,,WTIV,Lift Blade,1.5,25000.0,ACTION,4080.883333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2759,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4084.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2761,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4085.383333333336,TurbineInstallation,,,,,,,,
2763,,WTIV,Delay,2.0,33333.333333333336,ACTION,4087.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2764,,WTIV,Lift Blade,1.5,25000.0,ACTION,4088.883333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2765,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4092.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2766,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4093.383333333336,TurbineInstallation,,,,,,,,
2767,,WTIV,Lift Blade,1.5,25000.0,ACTION,4094.883333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2768,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4098.383333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2769,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,4098.816666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2770,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4100.816666666669,TurbineInstallation,,,,,,,,
2771,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,4101.250000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2772,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4104.250000000003,TurbineInstallation,,,,,,,,
2773,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,4105.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2776,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4111.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2777,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4114.000000000003,TurbineInstallation,,,,,,,,
2778,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,4115.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2782,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4121.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2783,,WTIV,Release Nacelle,3.0,50000.0,ACTION,4124.500000000003,TurbineInstallation,,,,,,,,
2784,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4125.500000000003,TurbineInstallation,,,,,,,,
2785,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4127.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2786,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4133.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2787,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4134.000000000003,TurbineInstallation,,,,,,,,
2788,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4135.000000000003,TurbineInstallation,,,,,,,,
2789,,WTIV,Lift Blade,1.5,25000.0,ACTION,4136.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2790,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4140.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2791,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4141.000000000003,TurbineInstallation,,,,,,,,
2792,,WTIV,Lift Blade,1.5,25000.0,ACTION,4142.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2793,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4146.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2794,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4147.000000000003,TurbineInstallation,,,,,,,,
2795,,WTIV,Lift Blade,1.5,25000.0,ACTION,4148.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2796,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4152.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2797,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,4152.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2798,,WTIV,Transit,12.0,200000.0,ACTION,4164.433333333336,TurbineInstallation,,,,,,,,
2799,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4168.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2802,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4172.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2803,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4176.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2804,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4177.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2805,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4179.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2806,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4180.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2807,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4184.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2808,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4188.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2809,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4192.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2810,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4194.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2811,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4195.933333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2812,,WTIV,Fasten Blade,1.5,25000.0,ACTION,4197.433333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2813,,WTIV,Transit,12.0,200000.0,ACTION,4209.433333333336,TurbineInstallation,,,,,,,,
2814,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4211.433333333336,TurbineInstallation,,,,,,,,
2815,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,4211.8666666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2816,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4214.8666666666695,TurbineInstallation,,,,,,,,
2818,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,4215.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2820,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4221.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2822,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4224.6166666666695,TurbineInstallation,,,,,,,,
2823,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,4226.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2827,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4232.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2828,,WTIV,Release Nacelle,3.0,50000.0,ACTION,4235.1166666666695,TurbineInstallation,,,,,,,,
2830,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4236.1166666666695,TurbineInstallation,,,,,,,,
2831,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4237.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2834,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4243.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2835,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4244.6166666666695,TurbineInstallation,,,,,,,,
2836,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4245.6166666666695,TurbineInstallation,,,,,,,,
2837,,WTIV,Lift Blade,1.5,25000.0,ACTION,4247.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2838,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4250.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2839,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4251.6166666666695,TurbineInstallation,,,,,,,,
2840,,WTIV,Lift Blade,1.5,25000.0,ACTION,4253.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2841,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4256.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
