,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
432,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,499.57142857142856,GravityBasedInstallation,,,,1.0,,site,,,
437,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,508.1428571428571,GravityBasedInstallation,,,,3.0,0.0,,,,
438,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,52.57099999875686,0.0,ACTION,508.1429999948959,GravityBasedInstallation,,,,,,,,,
439,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,508.1429999948959,GravityBasedInstallation,,,,,,,,,
440,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,528.1428571428571,GravityBasedInstallation,,,,3.0,0.0,,,,
441,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,28.571428571428555,127603.57142857136,ACTION,528.1428571428571,GravityBasedInstallation,,,,,,Site,,,
447,,Multi-Purpose AHTS Vessel,Delay,79.0,352823.875,ACTION,607.1428571428571,GravityBasedInstallation,,,,,,,,,
453,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,612.1428571428571,GravityBasedInstallation,,,,,,,,,
455,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,613.1428571428571,GravityBasedInstallation,,,,,,,,,
463,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,625.1428571428571,GravityBasedInstallation,,,,,,,,,
466,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,631.1428571428571,GravityBasedInstallation,,,,,,,,,
467,,Towing Group 1,Positioning Support,103.0,161006.1666666667,ACTION,631.1428571428571,GravityBasedInstallation,,,,1.0,,site,,,
472,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,639.7142857142857,GravityBasedInstallation,,,,3.0,0.0,,,,
473,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,131.5719999968888,0.0,ACTION,639.7149999917847,GravityBasedInstallation,,,,,,,,,
474,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,639.7149999917847,GravityBasedInstallation,,,,,,,,,
489,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,659.7142857142857,GravityBasedInstallation,,,,3.0,0.0,,,,
