,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
313,,Towing Group 1,Delay: No Completed Assemblies Available,93.92857142857144,440478.0357142858,ACTION,842.0,GravityBasedInstallation,,,,,,,3.0,
314,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,146.5,0.0,ACTION,842.0,GravityBasedInstallation,,,,,,,,
315,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,842.0,GravityBasedInstallation,,,,,,,,
318,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,850.0,GravityBasedInstallation,,,,,,,,
325,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,862.0,GravityBasedInstallation,,,,,,,3.0,0.0
326,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,862.0,GravityBasedInstallation,,,,,,,,
327,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,122.5,547100.3125,ACTION,862.0,GravityBasedInstallation,,Site,,,,,,
330,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,866.0,GravityBasedInstallation,,,,,,,,
331,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,867.0,GravityBasedInstallation,,,,,,,,
332,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,868.0,GravityBasedInstallation,,,,,,,,
333,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,870.0,GravityBasedInstallation,,,,,,,,
336,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,880.0,GravityBasedInstallation,,,,,,,,
337,,Multi-Purpose AHTS Vessel,Grout GBF,1.0,4466.125,ACTION,881.0,GravityBasedInstallation,,,,,,,,
343,,Multi-Purpose AHTS Vessel,Delay,4.0,17864.5,ACTION,885.0,GravityBasedInstallation,,,,,,,,
346,,Multi-Purpose AHTS Vessel,Grout GBF,2.0,8932.25,ACTION,887.0,GravityBasedInstallation,,,,,,,,
347,,Turbine Assembly Line 1,Delay,48.0,0.0,ACTION,918.0,GravityBasedInstallation,,,,,,,,
350,,Multi-Purpose AHTS Vessel,Delay,33.0,147382.125,ACTION,920.0,GravityBasedInstallation,,,,,,,,
351,,Multi-Purpose AHTS Vessel,Grout GBF,3.0,13398.375,ACTION,923.0,GravityBasedInstallation,,,,,,,,
352,,Towing Group 1,Positioning Support,61.0,95353.16666666667,ACTION,923.0,GravityBasedInstallation,,site,,,,,1.0,
355,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,930.0,GravityBasedInstallation,,,,,,,,
356,,Towing Group 1,Transit,8.571428571428571,40195.71428571428,ACTION,931.5714285714286,GravityBasedInstallation,,,,,,,3.0,0.0
357,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,933.5,GravityBasedInstallation,,,,,,,,
360,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,937.0,GravityBasedInstallation,,,,,,,,
363,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,940.5,GravityBasedInstallation,,,,,,,,
369,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,964.5,GravityBasedInstallation,,,,,,,,
395,,Turbine Assembly Line 1,Delay,125.0,0.0,ACTION,1089.5,GravityBasedInstallation,,,,,,,,
415,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,1161.5,GravityBasedInstallation,,,,,,,,
416,,Towing Group 1,Delay: No Completed Assemblies Available,229.92857142857144,1078250.0357142857,ACTION,1161.5,GravityBasedInstallation,,,,,,,3.0,
417,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,319.5,0.0,ACTION,1161.5,GravityBasedInstallation,,,,,,,,
418,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,1161.5,GravityBasedInstallation,,,,,,,,
421,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,1169.5,GravityBasedInstallation,,,,,,,,
422,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,1181.5,GravityBasedInstallation,,,,,,,3.0,0.0
423,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,1181.5,GravityBasedInstallation,,,,,,,,
424,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,258.5,1154493.3125,ACTION,1181.5,GravityBasedInstallation,,Site,,,,,,
425,,Turbine Assembly Line 1,Delay,56.0,0.0,ACTION,1237.5,GravityBasedInstallation,,,,,,,,
430,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,1241.5,GravityBasedInstallation,,,,,,,,
433,,Multi-Purpose AHTS Vessel,Delay,61.0,272433.625,ACTION,1242.5,GravityBasedInstallation,,,,,,,,
435,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,1245.5,GravityBasedInstallation,,,,,,,,
436,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,1247.5,GravityBasedInstallation,,,,,,,,
