,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
2557,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4245.6166666666695,TurbineInstallation,,,,,,,,,
2558,,WTIV,Lift Blade,1.5,25000.0,ACTION,4247.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2559,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4250.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2560,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4251.6166666666695,TurbineInstallation,,,,,,,,,
2561,,WTIV,Lift Blade,1.5,25000.0,ACTION,4253.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2562,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4256.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2563,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4257.6166666666695,TurbineInstallation,,,,,,,,,
2564,,WTIV,Lift Blade,1.5,25000.0,ACTION,4259.1166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2565,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4262.6166666666695,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2566,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,4263.050000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2567,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4265.050000000003,TurbineInstallation,,,,,,,,,
2568,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,4265.483333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2569,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4268.483333333336,TurbineInstallation,,,,,,,,,
2570,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,4269.233333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2571,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4275.233333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2572,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4278.233333333336,TurbineInstallation,,,,,,,,,
2573,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,4279.733333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2574,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4285.733333333336,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2575,,WTIV,Release Nacelle,3.0,50000.0,ACTION,4288.733333333336,TurbineInstallation,,,,,,,,,
2576,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4289.733333333336,TurbineInstallation,,,,,,,,,
